"Protein.IDs","Majority.protein.IDs","First.Majority.protein.IDs","Fasta.headers","Ratio.H.L.MSZ20_1_P","Ratio.H.L.MSZ20_1_T","Ratio.H.L.MSZ20_2_P","Ratio.H.L.MSZ20_2_T","Ratio.H.L.MSZ20_3_P","Ratio.H.L.MSZ20_3_T","Ratio.H.L.MSZ20_4_P","Ratio.H.L.MSZ20_4_T","Ratio.MSZ20_P_T_1","Ratio.MSZ20_P_T_2","Ratio.MSZ20_P_T_3","Ratio.MSZ20_P_T_4","Log2.MSZ20_P_T_1","Log2.MSZ20_P_T_2","Log2.MSZ20_P_T_3","Log2.MSZ20_P_T_4","Log2.MSZ20_P_1","Log2.MSZ20_P_2","Log2.MSZ20_P_3","Log2.MSZ20_P_4","Log2.MSZ20_T_1","Log2.MSZ20_T_2","Log2.MSZ20_T_3","Log2.MSZ20_T_4","Log2.MSZ20_P_T_mean","Log2.MSZ20_T_mean","Log2.MSZ20_P_mean","MSZ20_P_T_count","MSZ20_P_T_p.val","MSZ20_P_T_rank","MSZ20_P_T_log10p.val"
"YBR163W","YBR163W","YBR163W","YBR163W EXO5 SGDID:S000000367, Chr II from 565723-567480, Genome Release 64-2-1, Verified ORF, Mitochondrial 5-3 exonuclease and sliding exonuclease; required for mitochondrial genome maintenance; distantly related to the RecB nuclease domain of bacteri",0.21488,221.89,0.24995,0.13444,0.35654,8.0665,NA,NA,0.000968407769615575,1.85919369235347,0.0442000867786525,NA,-10.0120977253046,0.894677079262884,-4.49980698769176,NA,-2.21839688500937,-2.00028856786593,-1.4878641540824,NA,7.79370084029524,-2.89496564712881,3.01194283360936,NA,-4.53907587791116,2.63689267559193,-1.90218320231923,3,0.286138236740333,0.000383141762452107,0.543424103411968
"YHR147C","YHR147C","YHR147C","YHR147C MRPL6 SGDID:S000001190, Chr VIII from 393283-392639, Genome Release 64-2-1, reverse complement, Verified ORF, Mitochondrial ribosomal protein of the large subunit",0.20649,251.33,0.23448,0.16401,0.23154,2.4461,0.25888,NA,0.000821589145744639,1.42966892262667,0.0946568006213973,NA,-10.2492952576351,0.515681091768802,-3.40115002964276,NA,-2.27585617910095,-2.09246322174727,-2.1106666451744,-1.94964458200683,7.97343907853414,-2.60814431351607,1.29048338446836,NA,-4.37825473183635,2.21859271649548,-2.10715765700736,3,0.2985637535085,0.000766283524904215,0.524962917999972
"YCL024W","YCL024W","YCL024W","YCL024W KCC4 SGDID:S000000529, Chr III from 79162-82275, Genome Release 64-2-1, Verified ORF, Protein kinase of the bud neck involved in the septin checkpoint; associates with septin proteins, negatively regulates Swe1p by phosphorylation, shows structura",0.098685,2.6566,0.06648,0.16743,0.10037,0.24362,0.095638,5.4015,0.0371471053225928,0.397061458519978,0.411994089155242,0.017705822456725,-4.75060639622346,-1.33256576500116,-1.27930445555555,-5.81963232957147,-3.34102537632091,-3.91093580766647,-3.31659997419208,-3.38627222932213,1.40958101990255,-2.57837004266531,-2.03729551863653,2.43336010024935,-3.29552723658791,-0.193181110287485,-3.48870834687539,4,0.0668260403592535,0.00114942528735632,1.17505427134784
"YDR131C","YDR131C","YDR131C","YDR131C YDR131C SGDID:S000002538, Chr IV from 718460-716790, Genome Release 64-2-1, reverse complement, Verified ORF, F-box protein subunit of SCF ubiquitin ligase complex; substrate-specific adaptor subunit that recruits substrates to a core ubiquitinati",0.11225,0.15082,0.13208,0.13095,0.11561,NA,0.18798,30.999,0.744264686381117,1.00862924780451,NA,0.00606406658279299,-0.426112309817863,0.0123959656752995,NA,-7.36549869043113,-3.15521264992094,-2.92051606952355,-3.11266190183734,-2.4113489193446,-2.72910034010308,-2.93291203519885,NA,4.95414977108653,-2.59307167819123,-0.235954201405133,-2.89993488515661,3,0.391239000986604,0.00153256704980843,0.407557858718261
"YHR120W","YHR120W","YHR120W","YHR120W MSH1 SGDID:S000001162, Chr VIII from 349574-352453, Genome Release 64-2-1, Verified ORF, DNA-binding protein of the mitochondria; involved in repair of mitochondrial DNA; has ATPase activity and binds to DNA mismatches; has homology to E. coli Mut",0.11891,0.15401,0.065732,0.81294,0.07,0.68689,0.1269,NA,0.772092721251867,0.0808571358279824,0.101908602541892,NA,-0.373153982552365,-3.62848108930574,-3.29465225417181,NA,-3.07205804806486,-3.92726030778058,-3.83650126771712,-2.97823602570834,-2.6989040655125,-0.298779218474844,-0.541849013545312,NA,-2.4320957753433,-1.17984409917755,-3.45351391231773,3,0.142973674478743,0.00191570881226054,0.844743921144194
"YDR235W","YDR235W","YDR235W","YDR235W PRP42 SGDID:S000002643, Chr IV from 933504-935138, Genome Release 64-2-1, Verified ORF, U1 snRNP protein involved in splicing; required for U1 snRNP biogenesis; contains multiple tetriatricopeptide repeats",0.15144,NA,0.16939,0.23176,0.14113,10.644,0.17412,0.23573,NA,0.730885398688298,0.0132591131153702,0.738641666313155,NA,-0.452282882561177,-6.23687191106997,-0.437053448525944,-2.72318177873311,-2.56157938772758,-2.82490340070983,-2.52184616964891,NA,-2.10929650516641,3.41196851036013,-2.08479272112297,-2.3754027473857,-0.260706905309747,-2.65787768420486,3,0.34365232619095,0.00229885057471264,0.463880711995066
"YJL092W","YJL092W","YJL092W","YJL092W SRS2 SGDID:S000003628, Chr X from 257423-260947, Genome Release 64-2-1, Verified ORF, DNA helicase and DNA-dependent ATPase; involved in DNA repair and checkpoint recovery, needed for proper timing of commitment to meiotic recombination and transi",0.26775,1.0554,0.19172,3.6649,0.19325,0.33066,0.28301,NA,0.253695281409892,0.0523124778302273,0.584437186233593,NA,-1.9788314085555,-4.25670108351873,-0.77488011885409,NA,-1.90104151991183,-2.38292724981785,-2.37145968073724,-1.82107506410751,0.0777898886436676,1.87377383370088,-1.59657956188315,NA,-2.33680420364277,0.118328053487132,-2.11912587864361,3,0.149281603781272,0.00268199233716475,0.825993707804332
"YBR212W","YBR212W","YBR212W","YBR212W NGR1 SGDID:S000000416, Chr II from 647886-649904, Genome Release 64-2-1, Verified ORF, RNA binding protein that negatively regulates growth rate; interacts with the 3 UTR of the mitochondrial porin (POR1) mRNA and enhances its degradation; overex",0.066019,0.19857,0.099615,0.35637,0.14882,3.9585,0.077938,0.15315,0.332472176058821,0.279526896203384,0.0375950486295314,0.508899771465883,-1.58869448552644,-1.83894098837575,-4.73331352223344,-0.974546551450245,-3.92097490377361,-3.32749319049114,-2.7483596708481,-3.68152927940074,-2.33228041824717,-1.48855220211539,1.98495385138534,-2.70698272795049,-2.28387388689647,-1.13571537423193,-3.4195892611284,4,0.071909827198946,0.00306513409961686,1.14321175486557
"YLR139C","YLR139C","YLR139C","YLR139C SLS1 SGDID:S000004129, Chr XII from 423473-421542, Genome Release 64-2-1, reverse complement, Verified ORF, Mitochondrial membrane protein; coordinates expression of mitochondrially-encoded genes; may facilitate delivery of mRNA to membrane-bound ",0.14193,2.0837,0.13701,0.091663,0.13838,1.2999,0.1127,NA,0.068114411863512,1.49471433402791,0.106454342641742,NA,-3.87589610924291,0.579869786589742,-3.2316932913638,NA,-2.81674852820399,-2.8676468993373,-2.85329264892023,-3.14944057937723,1.05914758103893,-3.44751668592704,0.378400642443576,NA,-2.17590653800566,-0.669989487481514,-2.92178216395969,3,0.258060291738339,0.00344827586206897,0.58827881609009
"YDR375C","YDR375C","YDR375C","YDR375C BCS1 SGDID:S000002783, Chr IV from 1226536-1225166, Genome Release 64-2-1, reverse complement, Verified ORF, Protein translocase and chaperone required for Complex III assembly; member of the AAA ATPase family; forms a homo-oligomeric complex in t",0.26051,0.32872,0.66631,0.17478,0.22707,57.511,NA,40.157,0.792498174738379,3.81227829271084,0.00394828815357062,NA,-0.335520482409981,1.93065343846591,-7.98455700040044,NA,-1.94058934167914,-0.585734549109396,-2.1387909820182,NA,-1.60506885926916,-2.51638798757531,5.84576601838224,5.32757958910664,-2.1298080147815,1.76297219016111,-1.55503829093558,3,0.551306528705688,0.00383141762452107,0.258606864469642
