Majority protein IDs,First Majority protein IDs,Fasta headers,Ratio H/L MSZ08-1_Insol,Ratio H/L MSZ08-2_Insol,Ratio H/L MSZ08-3_Insol,Log2 Ratio H/L MSZ08-1_Insol,Log2 Ratio H/L MSZ08-2_Insol,Log2 Ratio H/L MSZ08-3_Insol,rank,percent rank,Average Log2 Ratio H/L Insol,Insol Average after TCL Median correction
YJR125C,YJR125C,">YJR125C ENT3 SGDID:S000003886, Chr X from 655963-654737, Genome Release 64-1-1, reverse complement, Verified ORF, Protein containing an N-terminal epsin-like domain involved in clathrin recruitment and traffic between the Golgi and endosomes; associates ",101.7,317.6,129.26,6.668175869,8.311067102,7.014132087,1,0.00039093,7.331125019,7.850859899
YOR007C,YOR007C,">YOR007C SGT2 SGDID:S000005533, Chr XV from 339978-338938, Genome Release 64-1-1, reverse complement, Verified ORF, Glutamine-rich cytoplasmic protein that serves as a scaffold for binding Get4/5p and other proteins required to mediate posttranslational i",128.67,373.38,83.586,7.007531912,8.544500842,6.385189417,2,0.000781861,7.31240739,7.83214227
YJR060W,YJR060W,">YJR060W CBF1 SGDID:S000003821, Chr X from 548759-549814, Genome Release 64-1-1, Verified ORF, Dual function helix-loop-helix protein; binds the motif CACRTG present at several sites including MET gene promoters and centromere DNA element I (CDEI); affect",61.143,71.052,219.56,5.934115435,6.150803354,7.778471434,3,0.001172791,6.621130075,7.140864954
YJR070C,YJR070C,">YJR070C LIA1 SGDID:S000003831, Chr X from 570598-569621, Genome Release 64-1-1, reverse complement, Verified ORF, Deoxyhypusine hydroxylase, a HEAT-repeat containing metalloenzyme that catalyzes hypusine formation; binds to and is required for the modifi",99.029,72.668,112.86,6.629779166,6.183248295,6.818390444,4,0.001563722,6.543805969,7.063540848
YGL105W,YGL105W,">YGL105W ARC1 SGDID:S000003073, Chr VII from 307437-308567, Genome Release 64-1-1, Verified ORF, Protein that binds tRNA and methionyl- and glutamyl-tRNA synthetases (Mes1p and Gus1p), delivering tRNA to them, stimulating catalysis, and ensuring their loc",44.948,35.021,339.5,5.490185018,5.130148374,8.407267764,5,0.001954652,6.342533719,6.862268598
YKL056C,YKL056C,">YKL056C TMA19 SGDID:S000001539, Chr XI from 334915-334412, Genome Release 64-1-1, reverse complement, Verified ORF, Protein that associates with ribosomes; homolog of translationally controlled tumor protein; green fluorescent protein (GFP)-fusion protei",48.834,44.088,230.6,5.609814049,5.462314127,7.849248703,6,0.002345582,6.307125626,6.826860506
YGR285C,YGR285C,">YGR285C ZUO1 SGDID:S000003517, Chr VII from 1063153-1061852, Genome Release 64-1-1, reverse complement, Verified ORF, Ribosome-associated chaperone, functions in ribosome biogenesis and, in partnership with Ssz1p and SSb1/2, as a chaperone for nascent po",62.166,62.43,121.66,5.958053848,5.964167561,6.926711099,7,0.002736513,6.282977503,6.802712382
YOR027W,YOR027W,">YOR027W STI1 SGDID:S000005553, Chr XV from 381053-382822, Genome Release 64-1-1, Verified ORF, Hsp90 cochaperone, interacts with the Ssa group of the cytosolic Hsp70 chaperones and activates Ssa1p ATPase activity; interacts with Hsp90 chaperones and inhi",68.943,46.885,118.23,6.107332173,5.551054528,6.885452345,8,0.003127443,6.181279682,6.701014561
YNL155W,YNL155W,">YNL155W YNL155W SGDID:S000005099, Chr XIV from 342516-343340, Genome Release 64-1-1, Uncharacterized ORF, Putative protein of unknown function; contains a DHHC domain and an AN1-type zinc finger; predicted to have thiol-disulfide oxidoreductase active si",114,61.392,53.081,6.832890014,5.939978765,5.730123645,9,0.003518374,6.167664141,6.687399021
YKL040C,YKL040C,">YKL040C NFU1 SGDID:S000001523, Chr XI from 361828-361058, Genome Release 64-1-1, reverse complement, Verified ORF, Protein involved in iron metabolism in mitochondria; similar to NifU, which is a protein required for the maturation of the Fe/S clusters o",29.79,66.302,188.03,4.896756218,6.050980485,7.554819051,10,0.003909304,6.167518585,6.687253464
YKL142W,YKL142W,">YKL142W MRP8 SGDID:S000001625, Chr XI from 178515-179174, Genome Release 64-1-1, Verified ORF, Protein of unknown function; undergoes sumoylation; transcription induced under cell wall stress; protein levels are reduced under anaerobic conditions; origin",63.19,42.617,127.48,5.981624361,5.413357134,6.994127114,11,0.004300235,6.12970287,6.649437749
