Protein IDs,Majority protein IDs,First Majority protein IDs,Peptide counts (all),Peptide counts (razor+unique),Peptide counts (unique),Fasta headers,Number of proteins,Peptides,Razor + unique peptides,Unique peptides,Peptides MSZ20_S_1,Peptides MSZ20_S_2,Peptides MSZ20_S_3,Peptides MSZ20_S_4,Razor + unique peptides MSZ20_S_1,Razor + unique peptides MSZ20_S_2,Razor + unique peptides MSZ20_S_3,Razor + unique peptides MSZ20_S_4,Unique peptides MSZ20_S_1,Unique peptides MSZ20_S_2,Unique peptides MSZ20_S_3,Unique peptides MSZ20_S_4,Sequence coverage [%],Unique + razor sequence coverage [%],Unique sequence coverage [%],Mol. weight [kDa],Sequence length,Sequence lengths,Q-value,Score,Ratio H/L,Ratio H/L normalized,Ratio H/L variability [%],Ratio H/L count,Ratio H/L iso-count,Ratio H/L type,Ratio H/L MSZ20_S_1,Ratio H/L MSZ20_S_2,Ratio H/L MSZ20_S_3,Ratio H/L MSZ20_S_4,Ratio H/L normalized MSZ20_S_1,Ratio H/L normalized MSZ20_S_2,Ratio H/L normalized MSZ20_S_3,Ratio H/L normalized MSZ20_S_4,Ratio H/L variability [%] MSZ20_S_1,Ratio H/L variability [%] MSZ20_S_2,Ratio H/L variability [%] MSZ20_S_3,Ratio H/L variability [%] MSZ20_S_4,Ratio H/L count MSZ20_S_1,Ratio H/L count MSZ20_S_2,Ratio H/L count MSZ20_S_3,Ratio H/L count MSZ20_S_4,Ratio H/L iso-count MSZ20_S_1,Ratio H/L iso-count MSZ20_S_2,Ratio H/L iso-count MSZ20_S_3,Ratio H/L iso-count MSZ20_S_4,Ratio H/L type MSZ20_S_1,Ratio H/L type MSZ20_S_2,Ratio H/L type MSZ20_S_3,Ratio H/L type MSZ20_S_4,Sequence coverage MSZ20_S_1 [%],Sequence coverage MSZ20_S_2 [%],Sequence coverage MSZ20_S_3 [%],Sequence coverage MSZ20_S_4 [%],Intensity,Intensity L,Intensity H,Intensity MSZ20_S_1,Intensity L MSZ20_S_1,Intensity H MSZ20_S_1,Intensity MSZ20_S_2,Intensity L MSZ20_S_2,Intensity H MSZ20_S_2,Intensity MSZ20_S_3,Intensity L MSZ20_S_3,Intensity H MSZ20_S_3,Intensity MSZ20_S_4,Intensity L MSZ20_S_4,Intensity H MSZ20_S_4,Only identified by site,Reverse,Potential contaminant,id,Peptide IDs,Peptide is razor,Mod. peptide IDs,Evidence IDs,MS/MS IDs,Best MS/MS,Oxidation (M) site IDs,Oxidation (M) site positions,Taxonomy IDs
YAL003W,YAL003W,YAL003W,6,6,6,"YAL003W EFB1 SGDID:S000000003, Chr I from 142174-142253,142620-143160, Genome Release 64-2-1, Verified ORF, Translation elongation factor 1 beta; stimulates nucleotide exchange to regenerate EF-1 alpha-GTP for the next elongation cycle; part of the EF-1 c",1,6,6,6,4,3,4,4,4,3,4,4,4,3,4,4,44.2,44.2,44.2,22.627,206,206,0,102.82,0.11132,0.94708,117.48,18,15,Median,0.10637,0.073834,0.071525,0.14814,1.1335,0.58172,0.81833,1.198,166.31,68.614,149.06,60.875,5,4,4,5,5,3,3,4,Median,Median,Median,Median,35.9,18,35.9,21.8,12148000,11416000,731700,3227000,3064500,162530,3229500,3057300,172240,2035400,1943300,92154,3655700,3351000,304770,,,,17,176;262;6443;6987;7407;8782,True;True;True;True;True;True,176;263;6479;7025;7450;8838,507;508;509;510;736;737;16932;16933;18307;18308;19411;19412;19413;19414;19415;19416;19417;19418;23176,1075;1076;1077;1078;1079;1080;1081;1082;1083;1547;1548;31754;31755;31756;31757;34163;34164;34165;36297;36298;36299;36300;36301;36302;36303;36304;36305;36306;36307;36308;36309;36310;36311;44139,1078;1547;31757;34163;36298;44139,,,-1
YAL005C;YBL075C,YAL005C,YAL005C,28;6,7;0,7;0,"YAL005C SSA1 SGDID:S000000004, Chr I from 141431-139503, Genome Release 64-2-1, reverse complement, Verified ORF, ATPase involved in protein folding and NLS-directed nuclear transport; member of HSP70 family; forms chaperone complex with Ydj1p; localized ",2,28,7,7,20,21,24,22,5,5,5,4,5,5,5,4,53.7,19.2,19.2,69.656,642,642;649,0,323.31,0.13271,1.9541,185.63,13,7,Leave out requantified,0.078172,0.15182,0.18937,0.13103,0.38163,0.94053,2.6497,0.69309,241.36,146.51,155.48,206.94,4,4,3,2,2,2,2,1,Median,Median,Plateau,Median,42.7,45.8,46.7,45.2,12413000,10800000,1612700,3584400,3189700,394680,3085600,2668300,417310,3226100,2812400,413670,2517000,2130000,387020,,,,18,117;577;756;1145;2084;2364;2379;3733;3734;4177;4714;4715;5306;5324;5325;5365;5717;5728;5956;6024;6026;6789;6958;7201;7292;7968;8154;8465,True;False;False;False;False;False;False;False;False;True;False;False;False;False;False;True;True;False;False;False;True;True;False;False;False;True;False;False,117;579;758;1147;2092;2373;2388;3744;3745;4191;4733;4734;5327;5345;5346;5388;5746;5757;5988;6056;6058;6825;6995;7242;7334;8017;8204;8519,355;356;1572;1573;1574;1575;2105;2106;2107;2108;2109;3103;3104;3105;3106;5606;5607;5608;5609;6383;6417;6418;6419;6420;6421;6422;6423;6424;6425;6426;6427;6428;6429;6430;6431;6432;6433;6434;9917;9918;9919;9920;9921;9922;9923;11110;11111;11112;11113;12467;12468;12469;12470;12471;12472;12473;14014;14015;14016;14069;14070;14071;14072;14073;14074;14172;14173;14174;15051;15052;15053;15054;15055;15056;15082;15083;15084;15085;15662;15663;15664;15665;15666;15829;15830;15831;15832;15834;17789;17790;18215;18216;18217;18218;18829;18830;18831;18832;18833;18834;18835;18836;18837;18838;18839;19091;19092;19093;19094;20916;20917;20918;20919;21472;21473;21474;21475;22329,767;768;769;3275;3276;3277;3278;3279;3280;3281;3282;3283;3284;3285;3286;3287;3288;3289;3290;3291;3292;3293;3294;3295;3296;3297;3298;3299;3300;3301;3302;3303;4371;4372;4373;4374;4375;4376;4377;4378;4379;4380;4381;4382;4383;4384;4385;4386;4387;4388;4389;6075;6076;6077;6078;6079;6080;6081;10776;10777;10778;10779;10780;10781;10782;10783;10784;10785;10786;10787;10788;10789;12363;12423;12424;12425;12426;12427;12428;12429;12430;12431;12432;12433;12434;12435;12436;12437;12438;12439;12440;12441;12442;12443;12444;12445;12446;12447;12448;12449;12450;18994;18995;18996;18997;18998;18999;19000;19001;19002;19003;19004;19005;21304;21305;21306;21307;21308;21309;21310;21311;21312;21313;23656;23657;23658;23659;23660;23661;23662;23663;23664;23665;23666;23667;23668;23669;23670;23671;23672;23673;23674;23675;23676;23677;23678;23679;23680;23681;23682;23683;23684;23685;26490;26491;26492;26493;26494;26495;26496;26497;26584;26585;26586;26587;26588;26589;26590;26591;26592;26593;26594;26595;26596;26597;26598;26599;26600;26601;26602;26603;26850;26851;26852;26853;26854;26855;26856;26857;26858;26859;26860;28340;28341;28342;28343;28344;28345;28403;28404;28405;28406;28407;28408;28409;28410;28411;28412;28413;28414;28415;28416;28417;28418;28419;28420;29432;29433;29434;29435;29436;29437;29438;29439;29440;29441;29442;29443;29444;29710;29711;29712;29713;29714;29715;29716;29717;29718;29719;29720;29721;29722;29724;29725;33227;33228;33939;33940;33941;33942;33943;33944;33945;33946;33947;33948;33949;33950;33951;33952;33953;33954;33955;33956;35136;35137;35138;35139;35140;35141;35142;35143;35144;35145;35146;35147;35148;35149;35150;35652;35653;35654;35655;35656;35657;35658;35659;35660;35661;35662;35663;39386;39387;39388;39389;39390;39391;39392;39393;39394;39395;39396;39397;39398;39399;39400;40638;40639;40640;40641;40642;40643;40644;40645;40646;40647;40648;40649;40650;40651;40652;40653;40654;40655;40656;40657;40658;40659;42404;42405;42406;42407;42408;42409;42410;42411;42412;42413,769;3276;4374;6078;10781;12363;12434;18996;19000;21311;23656;23659;26490;26594;26599;26859;28340;28405;29436;29712;29725;33228;33942;35146;35658;39391;40654;42409,,,-1;-1
YAL012W,YAL012W,YAL012W,10,10,10,"YAL012W CYS3 SGDID:S000000010, Chr I from 130799-131983, Genome Release 64-2-1, Verified ORF, Cystathionine gamma-lyase; catalyzes one of the two reactions involved in the transsulfuration pathway that yields cysteine from homocysteine with the intermedia",1,10,10,10,7,6,7,6,7,6,7,6,7,6,7,6,36.3,36.3,36.3,42.542,394,394,0,93.937,0.083153,0.88445,112.93,26,24,Median,0.086514,0.079922,0.15168,0.064581,0.87053,0.73713,1.0442,0.90753,122.81,128.39,76.316,125.51,7,5,7,7,7,5,6,6,Median,Median,Median,Median,29.7,26.4,24.6,24.6,22908000,20762000,2146600,6413600,5896000,517550,4624500,4138800,485710,6530800,5861600,669290,5339400,4865400,474060,,,,19,766;1453;1972;3440;4017;5067;5330;6555;7665;8108,True;True;True;True;True;True;True;True;True;True,768;1456;1980;3451;4030;5088;5351;6591;7711;8158,2134;2135;3909;3910;3911;5320;9157;9158;9159;10687;10688;10689;10690;13399;13400;14083;14084;17214;20126;20127;20128;20129;21335;21336;21337;21338;21339;21340,4437;4438;4439;7622;7623;7624;7625;7626;7627;10210;17512;17513;17514;17515;20534;20535;20536;20537;20538;20539;20540;20541;20542;20543;20544;20545;20546;25396;25397;26612;26613;26614;26615;26616;32226;32227;32228;37835;37836;37837;37838;37839;37840;37841;40330;40331;40332;40333;40334;40335;40336;40337;40338;40339;40340,4438;7622;10210;17514;20536;25396;26615;32227;37841;40337,,,-1
YAL016W,YAL016W,YAL016W,8,8,8,"YAL016W TPD3 SGDID:S000000014, Chr I from 124879-126786, Genome Release 64-2-1, Verified ORF, Regulatory subunit A of the heterotrimeric PP2A complex; the heterotrimeric protein phosphatase 2A (PP2A) complex also contains regulatory subunit Cdc55p and eit",1,8,8,8,5,4,5,2,5,4,5,2,5,4,5,2,15.6,15.6,15.6,70.907,635,635,0,26.263,0.10573,1.0874,113.78,15,13,Plateau,0.092699,0.10743,0.10573,0.1465,1.0465,0.7766,0.83193,0.59385,134.35,105.99,95.466,190.2,5,3,5,2,4,3,5,1,Median,Plateau,Median,Median,10.9,8.8,10.6,4.3,3334400,3053200,281230,1114400,1023800,90635,558230,517230,41004,1323800,1215100,108720,337950,297090,40864,,,,20,831;2341;2517;2782;3731;4246;4929;7317,True;True;True;True;True;True;True;True,833;2350;2526;2791;3742;4260;4950;7359,2295;6329;6330;6331;6332;6763;7418;7419;7420;9914;11264;12996;12997;19156;19157;19158,4695;12252;12253;12254;12255;12256;12947;14097;14098;14099;14100;14101;18991;21593;24664;24665;35781;35782;35783;35784;35785,4695;12253;12947;14099;18991;21593;24664;35785,,,-1
YAL021C,YAL021C,YAL021C,2,2,2,"YAL021C CCR4 SGDID:S000000019, Chr I from 113359-110846, Genome Release 64-2-1, reverse complement, Verified ORF, Component of the CCR4-NOT transcriptional complex; CCR4-NOT is involved in regulation of gene expression; component of the major cytoplasmic ",1,2,2,2,0,0,2,0,0,0,2,0,0,0,2,0,3,3,3,94.669,837,837,0.0017197,3.2581,0.2197,0.33207,0.28796,2,2,Median,NaN,NaN,0.2197,NaN,NaN,NaN,0.33207,NaN,NaN,NaN,0.28796,NaN,0,0,2,0,0,0,2,0,Median,Median,Median,Median,0,0,3,0,96582,84114,12468,0,0,0,0,0,0,96582,84114,12468,0,0,0,,,,21,2995;7566,True;True,3005;7611,7957;19846,15102;37160,15102;37160,,,-1
YAL023C;YOR321W,YAL023C,YAL023C,8;1,8;1,8;1,"YAL023C PMT2 SGDID:S000000021, Chr I from 108551-106272, Genome Release 64-2-1, reverse complement, Verified ORF, Protein O-mannosyltransferase of the ER membrane; transfers mannose residues from dolichyl phosphate-D-mannose to protein serine/threonine re",2,8,8,8,5,7,4,6,5,7,4,6,5,7,4,6,12.8,12.8,12.8,86.869,759,759;753,0,46.44,0.068476,0.69882,147.12,22,20,Median,0.052951,0.065717,0.078808,0.068476,0.54817,0.30042,0.6211,0.95541,181.37,162.27,154.13,135.02,5,7,4,6,5,6,4,5,Median,Median,Median,Median,8.2,11.2,6.6,9.5,6581000,6107600,473370,1629600,1539300,90222,1823200,1666200,157020,1291700,1187300,104400,1836500,1714800,121730,,,,22,773;948;1156;1779;5288;7901;8058;9095,True;True;True;True;True;True;True;True,775;950;1158;1785;5309;7948;8108;9152,2149;2150;2603;2604;3135;3136;3137;3138;4792;4793;4794;4795;13962;13963;13964;13965;20745;20746;20747;20748;21204;24041,4455;4456;5217;5218;6137;6138;6139;6140;6141;6142;6143;9227;9228;9229;9230;9231;26395;26396;26397;26398;39062;39063;39064;39065;39066;39067;40066;45849,4455;5218;6138;9228;26396;39067;40066;45849,,,-1;-1
YAL035W,YAL035W,YAL035W,15,15,15,"YAL035W FUN12 SGDID:S000000033, Chr I from 76427-79435, Genome Release 64-2-1, Verified ORF, Translation initiation factor eIF5B; GTPase that promotes Met-tRNAiMet binding to ribosomes and ribosomal subunit joining; promotes GTP-dependent maturation of 18",1,15,15,15,10,6,10,8,10,6,10,8,10,6,10,8,17.6,17.6,17.6,112.27,1002,1002,0,171.02,0.090103,0.86986,131.59,28,27,Median,0.08528,0.094406,0.090462,0.089165,1.1331,0.7199,2.7685,0.75604,151.82,158.57,106.99,127.95,8,5,8,7,8,5,8,6,Median,Median,Linear,Median,13.7,7.1,13.3,10.5,10044000,9406200,637740,2931600,2737400,194280,1491700,1399500,92174,2328700,2158700,170060,3291900,3110700,181220,,,,23,31;376;470;676;1414;3076;3939;3956;4493;6564;7303;7304;7973;8156;8508,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,31;377;471;678;1417;3086;3952;3969;4507;6600;7345;7346;8022;8206;8562,95;1051;1052;1053;1054;1055;1056;1282;1900;1901;3793;3794;3795;3796;8186;10477;10478;10479;10480;10527;11872;11873;11874;11875;11876;17229;17230;17231;19122;19123;19124;19125;20932;21477;21478;22449;22450,206;2153;2154;2155;2156;2157;2158;2646;3964;3965;3966;7353;7354;7355;7356;7357;7358;15552;20154;20155;20156;20157;20158;20159;20243;22637;22638;22639;22640;22641;22642;22643;32248;32249;32250;35727;35728;35729;35730;35731;39422;40661;40662;42706;42707,206;2158;2646;3966;7354;15552;20155;20243;22640;32248;35727;35731;39422;40661;42706,,,-1
YAL036C,YAL036C,YAL036C,3,3,3,"YAL036C RBG1 SGDID:S000000034, Chr I from 76152-75043, Genome Release 64-2-1, reverse complement, Verified ORF, Member of the DRG family of GTP-binding proteins; associates with translating ribosomes; interacts with Tma46p, Ygr250cp, Gir2p and Yap1p via t",1,3,3,3,1,3,1,2,1,3,1,2,1,3,1,2,9.8,9.8,9.8,40.701,369,369,0,5.0081,0.18876,0.38402,61.745,5,5,Median,NaN,0.13196,NaN,0.1505,NaN,0.26593,NaN,0.25522,NaN,92.08,NaN,74.498,1,2,0,2,1,2,0,2,Median,Median,Median,Median,3.8,9.8,2.2,7.6,483700,449050,34648,74978,66656,8322,202750,191470,11284,74793,74793,0,131180,116140,15042,,,,24,1813;3542;3960,True;True;True,1819;3553;3973,4910;4911;9402;9403;10536;10537;10538,9444;9445;17936;17937;20262;20263;20264;20265,9444;17937;20263,,,-1
YAL038W,YAL038W,YAL038W,29,29,27,"YAL038W CDC19 SGDID:S000000036, Chr I from 71786-73288, Genome Release 64-2-1, Verified ORF, Pyruvate kinase; functions as a homotetramer in glycolysis to convert phosphoenolpyruvate to pyruvate, the input for aerobic (TCA cycle) or anaerobic (glucose fer",1,29,29,27,24,25,24,23,24,25,24,23,22,23,22,21,63,63,61,54.544,500,500,0,323.31,0.041767,0.1127,104.47,107,68,Leave out requantified,0.037872,0.040222,0.039854,0.049388,0.093198,0.10103,0.1322,0.10962,75.118,81.598,90.421,166.46,27,29,26,25,19,20,16,13,Leave out requantified,Leave out requantified,Leave out requantified,Leave out requantified,52.8,59.4,56.4,48.4,738590000,704010000,34573000,234550000,223900000,10645000,169560000,161870000,7695300,149650000,143210000,6444100,184830000,175040000,9788100,,,,25,147;184;220;280;1979;2177;2793;2803;3067;3199;3200;3221;3595;3854;3867;4181;4226;4283;4284;5246;6164;6220;6777;6778;7466;7648;7835;7915;8619,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,147;184;220;281;1987;2185;2802;2812;3077;3209;3210;3232;3606;3866;3867;3880;4195;4240;4297;4298;5267;6197;6254;6813;6814;7510;7694;7881;7962;8673;8674,437;438;439;440;523;524;525;526;527;528;529;614;615;616;617;775;776;777;778;5336;5337;5338;5339;5340;5341;5342;5343;5344;5345;5847;5848;7445;7446;7447;7448;7470;7471;7472;7473;8161;8162;8531;8532;8533;8534;8535;8536;8604;8605;8606;8607;8608;9550;9551;10242;10243;10244;10245;10246;10247;10248;10249;10286;10287;10288;10289;11120;11223;11224;11225;11226;11227;11228;11355;11356;11357;11358;11359;11360;13853;13854;13855;13856;13857;16203;16204;16205;16206;16207;16208;16209;16210;16211;16212;16349;16350;16351;16352;16353;16354;17749;17750;17751;17752;17753;17754;17755;17756;17757;17758;17759;19571;19572;19573;19574;20081;20082;20083;20084;20085;20086;20571;20572;20573;20574;20575;20576;20577;20786;20787;20788;20789;22702;22703;22704;22705;22706;22707;22708,925;926;927;928;929;930;931;932;933;934;935;936;937;938;939;940;941;942;943;944;1100;1101;1102;1103;1104;1105;1106;1107;1108;1109;1110;1111;1112;1113;1114;1115;1116;1117;1118;1119;1120;1121;1122;1123;1124;1125;1307;1308;1309;1310;1311;1312;1313;1314;1315;1316;1317;1318;1319;1320;1321;1322;1323;1324;1325;1599;1600;1601;1602;1603;1604;1605;1606;1607;1608;1609;1610;1611;1612;1613;1614;1615;1616;1617;1618;1619;10233;10234;10235;10236;10237;10238;10239;10240;10241;10242;10243;10244;10245;10246;10247;10248;10249;10250;10251;10252;10253;10254;10255;10256;10257;10258;10259;10260;10261;10262;10263;10264;10265;10266;10267;10268;10269;10270;10271;10272;10273;10274;10275;10276;10277;10278;10279;10280;10281;10282;10283;10284;10285;10286;10287;10288;10289;11271;11272;11273;14146;14147;14148;14149;14150;14151;14152;14153;14154;14155;14156;14157;14158;14159;14160;14161;14162;14163;14164;14165;14166;14167;14168;14169;14170;14207;14208;14209;14210;14211;14212;14213;14214;14215;15487;15488;16186;16187;16188;16189;16190;16191;16192;16193;16194;16195;16196;16197;16198;16199;16359;16360;16361;16362;16363;16364;16365;16366;16367;16368;16369;16370;16371;16372;16373;16374;16375;16376;16377;16378;16379;16380;16381;16382;16383;16384;16385;16386;16387;16388;16389;16390;16391;16392;16393;16394;16395;16396;16397;16398;16399;16400;18228;18229;18230;18231;18232;18233;18234;18235;18236;18237;18238;18239;19683;19684;19685;19686;19687;19688;19689;19690;19691;19692;19693;19694;19695;19696;19697;19698;19699;19786;19787;19788;19789;19790;19791;19792;19793;19794;19795;19796;19797;19798;19799;19800;21320;21505;21506;21507;21508;21509;21510;21511;21512;21513;21514;21515;21516;21743;21744;21745;21746;21747;21748;21749;21750;26167;26168;26169;26170;26171;26172;26173;26174;26175;26176;26177;26178;26179;26180;26181;26182;26183;26184;26185;26186;26187;26188;26189;26190;26191;26192;26193;26194;26195;26196;26197;26198;26199;26200;26201;26202;26203;26204;26205;26206;30382;30383;30384;30385;30386;30387;30388;30389;30390;30391;30392;30393;30394;30395;30396;30397;30398;30399;30400;30401;30402;30629;30630;30631;30632;30633;30634;30635;30636;30637;30638;30639;30640;30641;30642;30643;30644;30645;30646;30647;30648;30649;30650;30651;33120;33121;33122;33123;33124;33125;33126;33127;33128;33129;33130;33131;33132;33133;33134;33135;33136;33137;33138;33139;33140;33141;33142;33143;33144;33145;33146;33147;33148;33149;33150;33151;33152;33153;33154;33155;33156;33157;33158;33159;33160;33161;33162;33163;33164;33165;33166;36601;36602;36603;36604;36605;36606;36607;36608;36609;36610;36611;36612;36613;36614;36615;36616;36617;36618;36619;36620;37713;37714;37715;37716;37717;37718;37719;37720;37721;37722;37723;37724;37725;37726;37727;37728;37729;37730;37731;37732;37733;37734;37735;37736;37737;37738;37739;37740;37741;37742;37743;37744;37745;37746;37747;37748;37749;37750;37751;37752;37753;37754;37755;37756;38681;38682;38683;38684;38685;38686;38687;38688;38689;38690;38691;38692;38693;38694;38695;38696;38697;38698;38699;38700;38701;38702;38703;38704;38705;38706;38707;38708;38709;38710;38711;38712;38713;38714;38715;38716;38717;38718;38719;38720;38721;38722;39151;39152;39153;39154;39155;39156;39157;39158;39159;39160;39161;39162;39163;39164;39165;39166;39167;39168;39169;39170;39171;39172;39173;39174;39175;39176;39177;39178;39179;39180;39181;39182;39183;39184;39185;39186;39187;39188;43158;43159;43160;43161;43162;43163;43164;43165;43166;43167;43168;43169;43170;43171;43172;43173,927;1113;1309;1616;10236;11273;14167;14213;15487;16188;16198;16386;18232;19689;19792;21320;21508;21745;21747;26192;30399;30630;33126;33133;36614;37717;38698;39164;43170,0;1;2,261;348;368,-1
YAL042W,YAL042W,YAL042W,2,2,2,"YAL042W ERV46 SGDID:S000000040, Chr I from 61316-62563, Genome Release 64-2-1, Verified ORF, Protein localized to COPII-coated vesicles; forms a complex with Erv41p; involved in the membrane fusion stage of transport",1,2,2,2,2,1,1,2,2,1,1,2,2,1,1,2,6.5,6.5,6.5,46.235,415,415,0,8.3166,0.086218,0.94365,27.459,6,6,Median,0.079958,NaN,NaN,0.083508,0.85582,NaN,NaN,0.70378,9.7701,NaN,NaN,45.523,2,1,1,2,2,1,1,2,Median,Median,Median,Median,6.5,3.4,3.4,6.5,1329300,1240100,89136,487980,460270,27708,166110,153880,12236,199060,184170,14894,476130,441830,34298,,,,26,1191;3333,True;True,1193;3344,3236;3237;8890;8891;8892;8893,6326;6327;16958;16959;16960;16961;16962,6327;16962,,,-1
