"Protein.IDs","Majority.protein.IDs","First.Majority.protein.IDs","Fasta.headers","Ratio.H.L.MSZ20_1_P","Ratio.H.L.MSZ20_1_T","Ratio.H.L.MSZ20_2_P","Ratio.H.L.MSZ20_2_T","Ratio.H.L.MSZ20_3_P","Ratio.H.L.MSZ20_3_T","Ratio.H.L.MSZ20_4_P","Ratio.H.L.MSZ20_4_T","Ratio.MSZ20_P_T_1","Ratio.MSZ20_P_T_2","Ratio.MSZ20_P_T_3","Ratio.MSZ20_P_T_4","Log2.MSZ20_P_T_1","Log2.MSZ20_P_T_2","Log2.MSZ20_P_T_3","Log2.MSZ20_P_T_4","Log2.MSZ20_P_1","Log2.MSZ20_P_2","Log2.MSZ20_P_3","Log2.MSZ20_P_4","Log2.MSZ20_T_1","Log2.MSZ20_T_2","Log2.MSZ20_T_3","Log2.MSZ20_T_4","Log2.MSZ20_P_T_mean","Log2.MSZ20_T_mean","Log2.MSZ20_P_mean","MSZ20_P_T_count","MSZ20_P_T_p.val","MSZ20_P_T_rank","MSZ20_P_T_log10p.val","Hits"
"YBR236C","YBR236C","YBR236C","YBR236C ABD1 SGDID:S000000440, Chr II from 691693-690383, Genome Release 64-2-1, reverse complement, Verified ORF, Methyltransferase; catalyzes the transfer of a methyl group from S-adenosylmethionine to the GpppN terminus of capped mRNA; nuclear protein ",0.15119,0.089023,0.26337,0.12078,0.28162,0.091277,0.24109,0.17187,1.69832515192703,2.18057625434675,3.08533365469943,1.40274626170943,0.764112695737019,1.12470944207938,1.62542651399432,0.488254068059855,-2.7255653748225,-1.92483707471494,-1.82817830041419,-2.0523562832236,-3.48967807055952,-3.04954651679432,-3.45360481440851,-2.54061035128346,1.00062567996764,-3.13335993826145,-2.13273425829381,4,0.0267094685714171,0.755172413793103,1.57333475289203,"Hits"
"YDL097C","YDL097C","YDL097C","YDL097C RPN6 SGDID:S000002255, Chr IV from 286695-285391, Genome Release 64-2-1, reverse complement, Verified ORF, Essential, non-ATPase regulatory subunit of the 26S proteasome lid; required for the assembly and activity of the 26S proteasome; the human ",0.16901,0.11692,0.17607,0.070861,0.17569,0.085268,0.18959,0.086888,1.44551830311324,2.48472361383554,2.06044471548529,2.18200441948255,0.531586876295785,1.31308538372928,1.04295575468116,1.1256540237326,-2.56481948433497,-2.50577898093834,-2.50889601714939,-2.39904522416849,-3.09640636063076,-3.81886436466762,-3.55185177183055,-3.52469924790109,1.00332050960971,-3.4979554362575,-2.4946349266478,4,0.00925221269945018,0.755938697318008,2.03375439177521,"Hits"
"YOR101W","YOR101W","YOR101W","YOR101W RAS1 SGDID:S000005627, Chr XV from 515244-516173, Genome Release 64-2-1, Verified ORF, GTPase involved in G-protein signaling in adenylate cyclase activation; plays a role in cell proliferation; localized to the plasma membrane; homolog of mammali",0.25935,0.11355,0.27405,0.24537,0.20251,0.079401,0.26443,0.10627,2.28401585204756,1.11688470473163,2.55047165652826,2.48828455820081,1.19157266365655,0.159480265054,1.35076406810857,1.31515148033599,-1.94702772518601,-1.8674889602008,-2.30393494444961,-1.91904223273165,-3.13860038884256,-2.0269692252548,-3.65469901255818,-3.23419371306764,1.00424211928878,-3.0136155849308,-2.00937346564202,4,0.0383504693522968,0.75632183908046,1.41622931656858,"Hits"
"YAL060W","YAL060W","YAL060W","YAL060W BDH1 SGDID:S000000056, Chr I from 35155-36303, Genome Release 64-2-1, Verified ORF, NAD-dependent (R,R)-butanediol dehydrogenase; catalyzes oxidation of (R,R)-2,3-butanediol to (3R)-acetoin, oxidation of meso-butanediol to (3S)-acetoin, and reduct",0.29614,0.20232,0.31449,0.18743,0.37056,0.12973,0.36504,0.15756,1.463720838276,1.6779064183962,2.85639404917906,2.31683168316832,0.549640428185966,0.74666225482387,1.51419501773604,1.21215323683161,-1.75564872458761,-1.66891395116842,-1.43222093644758,-1.45387353599116,-2.30528915277357,-2.41557620599229,-2.94641595418362,-2.66602677282277,1.00566273439437,-2.58332702144306,-1.57766428704869,4,0.0194367089631047,0.756704980842912,1.71137726822455,"Hits"
"YML001W","YML001W","YML001W","YML001W YPT7 SGDID:S000004460, Chr XIII from 267174-267800, Genome Release 64-2-1, Verified ORF, Rab family GTPase; GTP-binding protein of the rab family; required for homotypic fusion event in vacuole inheritance, for endosome-endosome fusion; interacts ",0.14879,0.062273,0.12806,0.086034,0.17983,0.076085,0.1711,0.088273,2.38931800298685,1.48848129809145,2.36354077676283,1.93830503098343,1.25659888008153,0.573841095059175,1.24094975487048,0.954795625478821,-2.74865052701136,-2.96510817981137,-2.47529437747839,-2.54708833506004,-4.00524940709289,-3.53894927487054,-3.71624413234887,-3.50188396053886,1.0065463388725,-3.69058169371279,-2.68403535484029,4,0.00811962956809936,0.757088122605364,2.09046378359134,"Hits"
"YJL186W","YJL186W","YJL186W","YJL186W MNN5 SGDID:S000003722, Chr X from 80155-81915, Genome Release 64-2-1, Verified ORF, Alpha-1,2-mannosyltransferase; responsible for addition of the second alpha-1,2-linked mannose of the branches on the mannan backbone of oligosaccharides, localize",0.20659,0.10231,0.23503,0.12755,0.28265,0.096419,0.22738,0.15207,2.01925520476982,1.84264994119953,2.9314761613375,1.49523245873611,1.01382325806332,0.881782019930121,1.55162732483604,0.580369792781408,-2.27515767272491,-2.08908317601686,-1.82291139789403,-2.13682273234477,-3.28898093078823,-2.97086519594698,-3.37453872273007,-2.71719252512618,1.00690059890272,-3.08789434364786,-2.08099374474514,4,0.0157274656383634,0.757471264367816,1.80334125499595,"Hits"
"YPR180W","YPR180W","YPR180W","YPR180W AOS1 SGDID:S000006384, Chr XVI from 895961-897004, Genome Release 64-2-1, Verified ORF, Subunit of heterodimeric nuclear SUMO activating enzyme E1 with Uba2p; activates Smt3p (SUMO) before its conjugation to proteins (sumoylation), which may play ",0.18584,0.094818,0.18873,0.079488,0.18589,0.11623,0.2305,0.10501,1.95996540741209,2.37432065217391,1.59932891680289,2.19502904485287,0.970828191587711,1.24751478420579,0.677466672928096,1.13424002977793,-2.427867035628,-2.40560432689791,-2.4274789326905,-2.11716134423275,-3.39869522721571,-3.65311911110369,-3.10494560561859,-3.25140137401068,1.00751241962488,-3.35204032948717,-2.34452790986229,4,0.0038800042977206,0.757854406130268,2.41116779335546,"Hits"
"YMR261C","YMR261C","YMR261C","YMR261C TPS3 SGDID:S000004874, Chr XIII from 793369-790205, Genome Release 64-2-1, reverse complement, Verified ORF, Regulatory subunit of trehalose-6-phosphate synthase/phosphatase; involved in synthesis of storage carbohydrate trehalose; expression is i",0.21493,0.10494,0.21246,0.094537,0.27408,0.13067,0.2398,0.14147,2.04812273680198,2.24737404402509,2.09749751281855,1.69505902311444,1.03430217357512,1.1682402609444,1.06866909993973,0.761335509864246,-2.21806122621888,-2.23473684532474,-1.86733103835281,-2.06009643613523,-3.252363399794,-3.40297710626914,-2.93600013829254,-2.82143194599947,1.00813676108087,-3.10319314758879,-2.09505638650792,4,0.00138166829591515,0.75823754789272,2.85959620771766,"Hits"
"YML035C","YML035C","YML035C","YML035C AMD1 SGDID:S000004498, Chr XIII from 208860-206428, Genome Release 64-2-1, reverse complement, Verified ORF, AMP deaminase; tetrameric enzyme that catalyzes the deamination of AMP to form IMP and ammonia; thought to be involved in regulation of in",0.18845,0.077979,0.18904,0.086408,0.167,0.092684,0.19362,0.11218,2.41667628464074,2.18776039255624,1.80182124206983,1.7259761098235,1.27302423610678,1.12945474023287,0.84945588908059,0.787412495526313,-2.40774629988509,-2.40323656046296,-2.58207999218803,-2.36870011122871,-3.68077053599187,-3.53269130069584,-3.43153588126862,-3.15611260675503,1.00983684023664,-3.45027758117784,-2.4404407409412,4,0.00311299837240439,0.758620689655172,2.50682110638333,"Hits"
"YHR163W","YHR163W","YHR163W","YHR163W SOL3 SGDID:S000001206, Chr VIII from 423724-424473, Genome Release 64-2-1, Verified ORF, 6-phosphogluconolactonase; catalyzes the second step of the pentose phosphate pathway; weak multicopy suppressor of los1-1 mutation; homologous to Sol2p and S",NA,0.10041,0.27224,0.11139,0.16683,0.095539,0.22749,0.11851,NA,2.44402549600503,1.74619788777358,1.91958484516075,NA,1.28925933538911,0.804217061563183,0.940794328347124,NA,-1.8770490384718,-2.58354935191096,-2.13612496613644,-3.31602513802913,-3.16630837386092,-3.38776641347414,-3.07691929448357,1.01142357509981,-3.23675480496194,-2.1989077855064,3,0.0197814117382756,0.759003831417625,1.70374271737663,"Hits"
