Majority protein IDs,First Majority protein IDs,Fasta headers,Ratio H/L MSZ08-1_Sol,Ratio H/L MSZ08-2_Sol,Ratio H/L MSZ08-3_Sol,Log2 Ratio H/L MSZ08-1_Sol,Log2 Ratio H/L MSZ08-2_Sol,Log2 Ratio H/L MSZ08-3_Sol,rank,%rank,Average Log2 Ratio H/L Sol,Average after TCL Median correction
YBR025C,YBR025C,">YBR025C OLA1 SGDID:S000000229, Chr II from 291865-290681, Genome Release 64-1-1, reverse complement, Verified ORF, P-loop ATPase with similarity to human OLA1 and bacterial YchF; identified as specifically interacting with the proteasome; protein levels ",0.0069999,0.01927,0.013046,-7.158449973,-5.697499618,-6.260248656,1,0.000368053,-6.372066082,-5.852331203
YNL002C,YNL002C,">YNL002C RLP7 SGDID:S000004947, Chr XIV from 627142-626174, Genome Release 64-1-1, reverse complement, Verified ORF, Nucleolar protein with similarity to large ribosomal subunit L7 proteins; constituent of 66S pre-ribosomal particles; plays an essential r",0.01561,0.013253,0.015167,-6.001385652,-6.237537219,-6.042920438,2,0.000736106,-6.09394777,-5.574212891
YOR145C,YOR145C,">YOR145C PNO1 SGDID:S000005671, Chr XV from 606171-605347, Genome Release 64-1-1, reverse complement, Verified ORF, Essential nucleolar protein required for pre-18S rRNA processing, interacts with Dim1p, an 18S rRNA dimethyltransferase, and also with Nob1",0.0087559,0.016928,0.023873,-6.835528807,-5.884444657,-5.388476316,3,0.001104159,-6.036149927,-5.516415047
YKL029C,YKL029C,">YKL029C MAE1 SGDID:S000001512, Chr XI from 384725-382716, Genome Release 64-1-1, reverse complement, Verified ORF, Mitochondrial malic enzyme, catalyzes the oxidative decarboxylation of malate to pyruvate, which is a key intermediate in sugar metabolism ",0.0091278,0.021075,0.018788,-6.775517104,-5.568323559,-5.734044691,4,0.001472212,-6.025961784,-5.506226905
YGR103W,YGR103W,">YGR103W NOP7 SGDID:S000003335, Chr VII from 695417-697234, Genome Release 64-1-1, Verified ORF, Component of several different pre-ribosomal particles; forms a complex with Ytm1p and Erb1p that is required for maturation of the large ribosomal subunit; r",0.011072,0.014243,0.024141,-6.496940342,-6.133603137,-5.372370751,5,0.001840265,-6.00097141,-5.481236531
YNL121C,YNL121C,">YNL121C TOM70 SGDID:S000005065, Chr XIV from 400537-398684, Genome Release 64-1-1, reverse complement, Verified ORF, Component of the TOM (translocase of outer membrane) complex responsible for recognition and initial import steps for all mitochondrially",0.01197,0.018892,0.017994,-6.384433037,-5.726080749,-5.796340262,6,0.002208318,-5.968951349,-5.44921647
YGL245W,YGL245W,">YGL245W GUS1 SGDID:S000003214, Chr VII from 39023-41149, Genome Release 64-1-1, Verified ORF, Glutamyl-tRNA synthetase (GluRS), forms a complex with methionyl-tRNA synthetase (Mes1p) and Arc1p; complex formation increases the catalytic efficiency of both",0.01877,0.019326,0.014423,-5.73542754,-5.693313123,-6.115484912,7,0.002576371,-5.848075192,-5.328340312
YLR249W,YLR249W,">YLR249W YEF3 SGDID:S000004239, Chr XII from 636780-639914, Genome Release 64-1-1, Verified ORF, Gamma subunit of translational elongation factor eEF1B, stimulates the binding of aminoacyl-tRNA (AA-tRNA) to ribosomes by releasing eEF1A (Tef1p/Tef2p) from ",0.013874,0.013597,0.032929,-6.1714724,-6.200567815,-4.924497489,8,0.002944424,-5.765512568,-5.245777689
YOR204W,YOR204W,">YOR204W DED1 SGDID:S000005730, Chr XV from 722911-724725, Genome Release 64-1-1, Verified ORF, ATP-dependent DEAD (Asp-Glu-Ala-Asp)-box RNA helicase, required for translation initiation of all yeast mRNAs; mutations in human DEAD-box DBY are a frequent c",0.0083863,0.039249,0.020098,-6.897749845,-4.671200293,-5.636804247,9,0.003312477,-5.735251462,-5.215516582
YBR143C,YBR143C,">YBR143C SUP45 SGDID:S000000347, Chr II from 532182-530869, Genome Release 64-1-1, reverse complement, Verified ORF, Polypeptide release factor (eRF1) in translation termination; mutant form acts as a recessive omnipotent suppressor; methylated by Mtq2p-T",0.019289,0.0077969,0.045883,-5.696077838,-7.002883653,-4.445896467,10,0.00368053,-5.714952653,-5.195217773
YMR290C,YMR290C,">YMR290C HAS1 SGDID:S000004903, Chr XIII from 851591-850074, Genome Release 64-1-1, reverse complement, Verified ORF, ATP-dependent RNA helicase; localizes to both the nuclear periphery and nucleolus; highly enriched in nuclear pore complex fractions; con",0.010877,0.024996,0.039229,-6.52257549,-5.322158945,-4.67193563,11,0.004048583,-5.505556688,-4.985821809
YNL112W,YNL112W,">YNL112W DBP2 SGDID:S000005056, Chr XIV from 413639-414911,415914-416281, Genome Release 64-1-1, Verified ORF, Essential ATP-dependent RNA helicase of the DEAD-box protein family, involved in nonsense-mediated mRNA decay and rRNA processing",0.030474,0.014302,0.025108,-5.03627731,-6.127639281,-5.315709076,12,0.004416636,-5.493208556,-4.973473676
YMR146C,YMR146C,">YMR146C TIF34 SGDID:S000004754, Chr XIII from 558524-557481, Genome Release 64-1-1, reverse complement, Verified ORF, eIF3i subunit of the core complex of translation initiation factor 3 (eIF3), which is essential for translation; stimulates rate of ribo",0.044124,0.020039,0.012394,-4.502292607,-5.641045674,-6.334214316,13,0.004784689,-5.492517533,-4.972782653
YFL045C,YFL045C,">YFL045C SEC53 SGDID:S000001849, Chr VI from 44392-43628, Genome Release 64-1-1, reverse complement, Verified ORF, Phosphomannomutase, involved in synthesis of GDP-mannose and dolichol-phosphate-mannose; required for folding and glycosylation of secretory",0.028317,0.018955,0.022312,-5.14218776,-5.721277733,-5.48603635,14,0.005152742,-5.449833948,-4.930099069
YJL080C,YJL080C,">YJL080C SCP160 SGDID:S000003616, Chr X from 289226-285558, Genome Release 64-1-1, reverse complement, Verified ORF, Essential RNA-binding G protein effector of mating response pathway, mainly associated with nuclear envelope and ER, interacts in mRNA-dep",0.018639,0.034737,0.01906,-5.74553173,-4.847383026,-5.713308071,15,0.005520795,-5.435407609,-4.91567273
YFR009W,YFR009W,">YFR009W GCN20 SGDID:S000001905, Chr VI from 162488-164746, Genome Release 64-1-1, Verified ORF, Positive regulator of the Gcn2p kinase activity, forms a complex with Gcn1p; proposed to stimulate Gcn2p activation by an uncharged tRNA",0.02713,0.012214,0.040375,-5.203967142,-6.355320439,-4.63039393,16,0.005888848,-5.396560504,-4.876825625
YGL157W,YGL157W,">YGL157W ARI1 SGDID:S000003125, Chr VII from 209006-210049, Genome Release 64-1-1, Verified ORF, NADPH-dependent aldehyde reductase, utilizes aromatic and alophatic aldehyde substrates; member of the short-chain dehydrogenase/reductase superfamily",0.023429,0.023247,0.02469,-5.415560812,-5.42681164,-5.339929353,17,0.006256901,-5.394100602,-4.874365722
YLR009W,YLR009W,">YLR009W RLP24 SGDID:S000003999, Chr XII from 166537-167136, Genome Release 64-1-1, Verified ORF, Essential protein with similarity to Rpl24Ap and Rpl24Bp, associated with pre-60S ribosomal subunits and required for ribosomal large subunit biogenesis",0.025257,0.028951,0.021486,-5.307172902,-5.110243008,-5.540459265,18,0.006624954,-5.319291725,-4.799556846
YNR016C,YNR016C,">YNR016C ACC1 SGDID:S000005299, Chr XIV from 661374-654673, Genome Release 64-1-1, reverse complement, Verified ORF, Acetyl-CoA carboxylase, biotin containing enzyme that catalyzes the carboxylation of acetyl-CoA to form malonyl-CoA; required for de novo ",0.020656,0.025169,0.030405,-5.597295284,-5.312208292,-5.0395476,19,0.006993007,-5.316350392,-4.796615513
YGR285C,YGR285C,">YGR285C ZUO1 SGDID:S000003517, Chr VII from 1063153-1061852, Genome Release 64-1-1, reverse complement, Verified ORF, Ribosome-associated chaperone, functions in ribosome biogenesis and, in partnership with Ssz1p and SSb1/2, as a chaperone for nascent po",0.03662,0.020812,0.024157,-4.771224399,-5.586440577,-5.371414889,20,0.00736106,-5.243026622,-4.723291742
YGL207W,YGL207W,">YGL207W SPT16 SGDID:S000003175, Chr VII from 98969-102076, Genome Release 64-1-1, Verified ORF, Subunit of the heterodimeric FACT complex (Spt16p-Pob3p), which associates with chromatin via interaction with Nhp6Ap and Nhp6Bp, and reorganizes nucleosomes ",0.013302,0.021291,0.065217,-6.232213014,-5.553612478,-3.938608112,21,0.007729113,-5.241477868,-4.721742988
YDR429C,YDR429C,">YDR429C TIF35 SGDID:S000002837, Chr IV from 1325301-1324477, Genome Release 64-1-1, reverse complement, Verified ORF, eIF3g subunit of the core complex of translation initiation factor 3 (eIF3), which is essential for translation; stimulates resumption o",0.02144,0.052872,0.017183,-5.543551284,-4.241352289,-5.862874249,22,0.008097166,-5.215925941,-4.696191062
YGL105W,YGL105W,">YGL105W ARC1 SGDID:S000003073, Chr VII from 307437-308567, Genome Release 64-1-1, Verified ORF, Protein that binds tRNA and methionyl- and glutamyl-tRNA synthetases (Mes1p and Gus1p), delivering tRNA to them, stimulating catalysis, and ensuring their loc",0.02175,0.02829,0.03263,-5.522840789,-5.143564013,-4.937657202,23,0.008465219,-5.201354001,-4.681619122
YIL078W,YIL078W,">YIL078W THS1 SGDID:S000001340, Chr IX from 212499-214703, Genome Release 64-1-1, Verified ORF, Threonyl-tRNA synthetase, essential cytoplasmic protein",0.026453,0.027405,0.028371,-5.240424844,-5.189417055,-5.139439187,24,0.008833272,-5.189760362,-4.670025483
