"","x"
"1","O13297"
"2","O14455"
"3","P00937"
"4","P01119"
"5","P02829"
"6","P05756"
"7","P08678"
"8","P0CX35"
"9","P0CX46"
"10","P0CX47"
"11","P0CX56"
"12","P15873"
"13","P17967"
"14","P18544"
"15","P20049"
"16","P20435"
"17","P22023"
"18","P22936"
"19","P23202"
"20","P23255"
"21","P23287"
"22","P24000"
"23","P25359"
"24","P25365"
"25","P25368"
"26","P32178"
"27","P32266"
"28","P32604"
"29","P32769"
"30","P32783"
"31","P32915"
"32","P33307"
"33","P35127"
"34","P35176"
"35","P35729"
"36","P36059"
"37","P38732"
"38","P38777"
"39","P38836"
"40","P38845"
"41","P38858"
"42","P38912"
"43","P39010"
"44","P39516"
"45","P40467"
"46","P40527"
"47","P40579"
"48","P43561"
"49","P47045"
"50","P47096"
"51","P48415"
"52","P48439"
"53","P51996"
"54","P53072"
"55","P53199"
"56","P53753"
"57","P53846"
"58","Q02776"
"59","Q02793"
"60","Q02884"
"61","Q02887"
"62","Q03629"
"63","Q03798"
"64","Q05468"
"65","Q05979"
"66","Q06493"
"67","Q06624"
"68","Q07478"
"69","Q07716"
"70","Q12029"
"71","Q12324"
"72","Q12449"
